Metodo,Arquivo,Palavra,Ocorrencias,TempoMs,TamanhoTexto
SerialCPU,DonQuixote-388208.txt,the,188,131,2168073
ParallelCPU,DonQuixote-388208.txt,the,188,113,2168073
ParallelGPU,DonQuixote-388208.txt,the,188,34,2168073
SerialCPU,DonQuixote-388208.txt,and,74,65,2168073
ParallelCPU,DonQuixote-388208.txt,and,74,76,2168073
ParallelGPU,DonQuixote-388208.txt,and,74,26,2168073
SerialCPU,DonQuixote-388208.txt,of,122,69,2168073
ParallelCPU,DonQuixote-388208.txt,of,122,42,2168073
ParallelGPU,DonQuixote-388208.txt,of,122,20,2168073
SerialCPU,DonQuixote-388208.txt,to,82,63,2168073
ParallelCPU,DonQuixote-388208.txt,to,82,43,2168073
ParallelGPU,DonQuixote-388208.txt,to,82,19,2168073
SerialCPU,DonQuixote-388208.txt,in,75,44,2168073
ParallelCPU,DonQuixote-388208.txt,in,75,61,2168073
ParallelGPU,DonQuixote-388208.txt,in,75,34,2168073
SerialCPU,Dracula-165307.txt,the,8101,21,881021
ParallelCPU,Dracula-165307.txt,the,8101,16,881021
ParallelGPU,Dracula-165307.txt,the,8089,13,881021
SerialCPU,Dracula-165307.txt,and,5974,19,881021
ParallelCPU,Dracula-165307.txt,and,5974,19,881021
ParallelGPU,Dracula-165307.txt,and,5968,10,881021
SerialCPU,Dracula-165307.txt,of,3754,18,881021
ParallelCPU,Dracula-165307.txt,of,3754,19,881021
ParallelGPU,Dracula-165307.txt,of,3751,9,881021
SerialCPU,Dracula-165307.txt,to,4746,19,881021
ParallelCPU,Dracula-165307.txt,to,4746,19,881021
ParallelGPU,Dracula-165307.txt,to,4741,11,881021
SerialCPU,Dracula-165307.txt,in,2567,20,881021
ParallelCPU,Dracula-165307.txt,in,2567,20,881021
ParallelGPU,Dracula-165307.txt,in,2565,11,881021
SerialCPU,MobyDick-217452.txt,the,14715,36,1260539
ParallelCPU,MobyDick-217452.txt,the,14715,27,1260539
ParallelGPU,MobyDick-217452.txt,the,14702,16,1260539
SerialCPU,MobyDick-217452.txt,and,6514,27,1260539
ParallelCPU,MobyDick-217452.txt,and,6514,26,1260539
ParallelGPU,MobyDick-217452.txt,and,6509,16,1260539
SerialCPU,MobyDick-217452.txt,of,6746,26,1260539
ParallelCPU,MobyDick-217452.txt,of,6746,25,1260539
ParallelGPU,MobyDick-217452.txt,of,6739,11,1260539
SerialCPU,MobyDick-217452.txt,to,4709,24,1260539
ParallelCPU,MobyDick-217452.txt,to,4709,25,1260539
ParallelGPU,MobyDick-217452.txt,to,4705,13,1260539
SerialCPU,MobyDick-217452.txt,in,4241,27,1260539
ParallelCPU,MobyDick-217452.txt,in,4241,27,1260539
ParallelGPU,MobyDick-217452.txt,in,4238,15,1260539
SerialCPU,DonQuixote-388208.txt,the,188,39,2168073
ParallelCPU,DonQuixote-388208.txt,the,188,40,2168073
ParallelGPU,DonQuixote-388208.txt,the,188,20,2168073
SerialCPU,DonQuixote-388208.txt,and,74,43,2168073
ParallelCPU,DonQuixote-388208.txt,and,74,40,2168073
ParallelGPU,DonQuixote-388208.txt,and,74,23,2168073
SerialCPU,DonQuixote-388208.txt,of,122,40,2168073
ParallelCPU,DonQuixote-388208.txt,of,122,42,2168073
ParallelGPU,DonQuixote-388208.txt,of,122,19,2168073
SerialCPU,DonQuixote-388208.txt,to,82,41,2168073
ParallelCPU,DonQuixote-388208.txt,to,82,85,2168073
ParallelGPU,DonQuixote-388208.txt,to,82,19,2168073
SerialCPU,DonQuixote-388208.txt,in,75,39,2168073
ParallelCPU,DonQuixote-388208.txt,in,75,38,2168073
ParallelGPU,DonQuixote-388208.txt,in,75,20,2168073
SerialCPU,Dracula-165307.txt,the,8101,16,881021
ParallelCPU,Dracula-165307.txt,the,8101,18,881021
ParallelGPU,Dracula-165307.txt,the,8089,10,881021
SerialCPU,Dracula-165307.txt,and,5974,16,881021
ParallelCPU,Dracula-165307.txt,and,5974,16,881021
ParallelGPU,Dracula-165307.txt,and,5968,8,881021
SerialCPU,Dracula-165307.txt,of,3754,15,881021
ParallelCPU,Dracula-165307.txt,of,3754,16,881021
ParallelGPU,Dracula-165307.txt,of,3751,9,881021
SerialCPU,Dracula-165307.txt,to,4746,16,881021
ParallelCPU,Dracula-165307.txt,to,4746,16,881021
ParallelGPU,Dracula-165307.txt,to,4741,9,881021
SerialCPU,Dracula-165307.txt,in,2567,18,881021
ParallelCPU,Dracula-165307.txt,in,2567,19,881021
ParallelGPU,Dracula-165307.txt,in,2565,9,881021
SerialCPU,MobyDick-217452.txt,the,14715,75,1260539
ParallelCPU,MobyDick-217452.txt,the,14715,24,1260539
ParallelGPU,MobyDick-217452.txt,the,14702,13,1260539
SerialCPU,MobyDick-217452.txt,and,6514,21,1260539
ParallelCPU,MobyDick-217452.txt,and,6514,21,1260539
ParallelGPU,MobyDick-217452.txt,and,6509,12,1260539
SerialCPU,MobyDick-217452.txt,of,6746,20,1260539
ParallelCPU,MobyDick-217452.txt,of,6746,22,1260539
ParallelGPU,MobyDick-217452.txt,of,6739,28,1260539
SerialCPU,MobyDick-217452.txt,to,4709,21,1260539
ParallelCPU,MobyDick-217452.txt,to,4709,22,1260539
ParallelGPU,MobyDick-217452.txt,to,4705,11,1260539
SerialCPU,MobyDick-217452.txt,in,4241,21,1260539
ParallelCPU,MobyDick-217452.txt,in,4241,26,1260539
ParallelGPU,MobyDick-217452.txt,in,4238,11,1260539
SerialCPU,DonQuixote-388208.txt,the,188,52,2168073
ParallelCPU,DonQuixote-388208.txt,the,188,59,2168073
ParallelGPU,DonQuixote-388208.txt,the,188,18,2168073
SerialCPU,DonQuixote-388208.txt,and,74,48,2168073
ParallelCPU,DonQuixote-388208.txt,and,74,70,2168073
ParallelGPU,DonQuixote-388208.txt,and,74,20,2168073
SerialCPU,DonQuixote-388208.txt,of,122,40,2168073
ParallelCPU,DonQuixote-388208.txt,of,122,40,2168073
ParallelGPU,DonQuixote-388208.txt,of,122,19,2168073
SerialCPU,DonQuixote-388208.txt,to,82,101,2168073
ParallelCPU,DonQuixote-388208.txt,to,82,39,2168073
ParallelGPU,DonQuixote-388208.txt,to,82,50,2168073
SerialCPU,DonQuixote-388208.txt,in,75,41,2168073
ParallelCPU,DonQuixote-388208.txt,in,75,39,2168073
ParallelGPU,DonQuixote-388208.txt,in,75,19,2168073
SerialCPU,Dracula-165307.txt,the,8101,15,881021
ParallelCPU,Dracula-165307.txt,the,8101,16,881021
ParallelGPU,Dracula-165307.txt,the,8089,10,881021
SerialCPU,Dracula-165307.txt,and,5974,17,881021
ParallelCPU,Dracula-165307.txt,and,5974,16,881021
ParallelGPU,Dracula-165307.txt,and,5968,9,881021
SerialCPU,Dracula-165307.txt,of,3754,16,881021
ParallelCPU,Dracula-165307.txt,of,3754,17,881021
ParallelGPU,Dracula-165307.txt,of,3751,10,881021
SerialCPU,Dracula-165307.txt,to,4746,20,881021
ParallelCPU,Dracula-165307.txt,to,4746,17,881021
ParallelGPU,Dracula-165307.txt,to,4741,9,881021
SerialCPU,Dracula-165307.txt,in,2567,32,881021
ParallelCPU,Dracula-165307.txt,in,2567,16,881021
ParallelGPU,Dracula-165307.txt,in,2565,10,881021
SerialCPU,MobyDick-217452.txt,the,14715,22,1260539
ParallelCPU,MobyDick-217452.txt,the,14715,22,1260539
ParallelGPU,MobyDick-217452.txt,the,14702,14,1260539
SerialCPU,MobyDick-217452.txt,and,6514,21,1260539
ParallelCPU,MobyDick-217452.txt,and,6514,21,1260539
ParallelGPU,MobyDick-217452.txt,and,6509,11,1260539
SerialCPU,MobyDick-217452.txt,of,6746,22,1260539
ParallelCPU,MobyDick-217452.txt,of,6746,21,1260539
ParallelGPU,MobyDick-217452.txt,of,6739,12,1260539
SerialCPU,MobyDick-217452.txt,to,4709,21,1260539
ParallelCPU,MobyDick-217452.txt,to,4709,21,1260539
ParallelGPU,MobyDick-217452.txt,to,4705,12,1260539
SerialCPU,MobyDick-217452.txt,in,4241,21,1260539
ParallelCPU,MobyDick-217452.txt,in,4241,38,1260539
ParallelGPU,MobyDick-217452.txt,in,4238,12,1260539
